
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	2-Methylhexane(ppbC)	3.253612E+000	1.526590E-001	9.265316E-001	6.893580E-001	6.110564E-001	9.406422E-001
1	2,3-Dimethylpentane(ppbC)	7.135258E-001	1.465268E+000	6.274208E-001	1.786405E+000	6.748981E-001	7.332897E-001
1	3-Methylhexane(ppbC)	2.904472E-001	6.874578E-001	2.571607E-001	7.317324E-001	2.961628E-001	2.936963E-001
1	2,2,4-Trimethylpentane(ppbC)	7.500832E-001	1.550856E+000	6.660179E-001	1.901610E+000	7.172632E-001	7.617146E-001
1	n-Heptane(ppbC)	1.069100E+000	2.066762E+000	8.321868E-001	2.639960E+000	1.159105E+000	3.399162E-001
1	Methylcyclohexane(ppbC)	9.428704E-001	1.332843E+000	7.230074E-001	1.883318E+000	8.886355E-001	1.061641E+000
1	2,3,4-Trimethylpentane(ppbC)	4.656565E-001	3.980032E-001	3.470382E-001	9.247612E-001	5.163726E-001	7.956393E-001
1	Toluene(ppbC)	3.517793E-001	1.098842E+000	2.870583E-001	9.330032E-001	4.342021E-001	7.120610E-002
1	2-Methylheptane(ppbC)	9.756984E+000	1.956596E+001	1.145192E+001	2.854130E+001	4.427144E+000	6.659541E-001
1	3-Methylheptane(ppbC)	2.836767E-001	8.949993E-001	2.208492E-001	7.914488E-001	1.838220E-001	2.482113E-001
1	n-Octane(ppbC)	2.639841E-001	6.421247E-001	1.736500E-001	7.006946E-001	2.098147E-001	2.235696E-001
1	Ethylbenzene(ppbC)	3.086112E-001	1.166496E+000	3.171137E-001	1.371056E+000	4.627103E-001	4.280539E-001
1	m,p-Xylene(ppbC)	2.114225E+000	1.113514E+000	9.602284E-001	2.820978E+000	2.558621E+000	1.989330E+000
1	Styrene(ppbC)	4.942222E+000	7.323520E+000	2.761471E+000	1.103818E+001	5.966896E+000	2.763689E+000
1	o-Xylene(ppbC)	4.947959E+000	3.158519E+000	0.000000E+000	1.606398E-008	3.685413E-001	6.008288E-006
1	n-Nonane(ppbC)	2.214553E+000	3.440612E+000	1.000739E+000	3.972410E+000	3.069257E+000	7.692705E-001
1	Isopropylbenzene(ppbC)	1.323445E-001	8.407627E-001	9.348215E-002	7.421192E-001	4.304511E-001	2.111151E-001
1	n-Propylbenzene(ppbC)	1.707872E-001	1.770060E-001	5.924821E-002	3.109296E-001	5.277974E-001	1.107285E-001
1	m-Ethyltoluene(ppbC)	2.233651E-001	4.137225E-001	1.079678E-001	5.497645E-001	5.701134E-001	6.096698E-002
1	p-Ethyltoluene(ppbC)	6.625011E-001	1.257601E+000	3.477430E-001	1.714004E+000	1.330085E+000	1.243138E-001
1	1,3,5-Trimethylbenzene(ppbC)	3.721031E-001	9.388276E-001	1.775634E-001	1.027097E+000	9.400718E-001	8.976708E-002
1	o-Ethyltoluene(ppbC)	3.093694E-001	9.591429E-001	1.502098E-001	9.743359E-001	8.631871E-001	1.112476E-001
1	1,2,4-Trimethylbenzene(ppbC)	4.174187E-001	7.714776E-001	1.871590E-001	8.826932E-001	7.428097E-001	9.650064E-002
1	n-Decane(ppbC)	1.497257E+000	3.291383E+000	7.437827E-001	3.260655E+000	3.626327E+000	3.025270E-001
1	1,2,3-Trimethylbenzene(ppbC)	1.841315E-001	4.013577E-001	1.207753E-001	5.754097E-001	6.277279E-001	1.494079E-001
1	m-Diethylbenzene(ppbC)	4.723369E-001	1.731248E+000	1.177882E-001	1.118127E+000	1.105462E+000	1.284208E-001
1	p-Diethylbenzene(ppbC)	1.025207E-001	2.644242E-001	1.590871E-002	2.459401E-001	1.951389E-001	5.364231E-002
1	n-Undecane(ppbC)	2.629882E-001	5.664442E-001	6.556807E-002	5.714572E-001	4.630829E-001	7.013696E-002
1	n-Dodecane(ppbC)	1.404265E-001	4.209017E-001	7.286795E-005	3.329594E-001	9.016294E-001	1.364651E-001
